Year,Country,Variable,Value
2012,Mexico,Waste from households,32419.118
2000,Mexico,Other municipal waste,7092
2001,Mexico,Other municipal waste,7255.6
2002,Mexico,Other municipal waste,7413.6
2003,Mexico,Other municipal waste,7584.7
2004,Mexico,Other municipal waste,7974
2005,Mexico,Other municipal waste,8162.9
2006,Mexico,Other municipal waste,8326
2007,Mexico,Other municipal waste,8494.2
2008,Mexico,Other municipal waste,8645
2009,Mexico,Other municipal waste,8812.9
2010,Mexico,Other municipal waste,9213.51
2011,Mexico,Other municipal waste,9444.38
2012,Mexico,Other municipal waste,9683.633
2000,Mexico,Municipal waste treated,30733.1
2001,Mexico,Municipal waste treated,31488.59
2002,Mexico,Municipal waste treated,32173.67
2003,Mexico,Municipal waste treated,32915.6
2004,Mexico,Municipal waste treated,34604
2005,Mexico,Municipal waste treated,35405
2006,Mexico,Municipal waste treated,36135
2007,Mexico,Municipal waste treated,36865
2008,Mexico,Municipal waste treated,37594.6
2009,Mexico,Municipal waste treated,38325
2010,Mexico,Municipal waste treated,40058.75
2011,Mexico,Municipal waste treated,41062.5
2012,Mexico,Municipal waste treated,42102.75
2000,Mexico,Recycling,724.3
2001,Mexico,Recycling,742.1
2002,Mexico,Recycling,780.47
2003,Mexico,Recycling,820.5
2004,Mexico,Recycling,895
2005,Mexico,Recycling,1150
2006,Mexico,Recycling,1176
2007,Mexico,Recycling,1202.2
2008,Mexico,Recycling,1346.8
2009,Mexico,Recycling,1500
2010,Mexico,Recycling,1695
2011,Mexico,Recycling,1980
2012,Mexico,Recycling,2100
2000,Mexico,Landfill,30008.8
2001,Mexico,Landfill,30746.49
2002,Mexico,Landfill,31393.2
2003,Mexico,Landfill,32095.1
2004,Mexico,Landfill,33709.04
2005,Mexico,Landfill,34255
2006,Mexico,Landfill,34959
2007,Mexico,Landfill,35663
2008,Mexico,Landfill,36247.8
2009,Mexico,Landfill,36825
2010,Mexico,Landfill,38363.75
2011,Mexico,Landfill,39082.5
2012,Mexico,Landfill,40002.75
2000,Netherlands,Municipal waste generated,9529
2001,Netherlands,Municipal waste generated,9550
2002,Netherlands,Municipal waste generated,9684
2003,Netherlands,Municipal waste generated,9504
2004,Netherlands,Municipal waste generated,9746
2005,Netherlands,Municipal waste generated,9769
2006,Netherlands,Municipal waste generated,9761
2007,Netherlands,Municipal waste generated,9922
2008,Netherlands,Municipal waste generated,9868
2009,Netherlands,Municipal waste generated,9738
2010,Netherlands,Municipal waste generated,9484
2011,Netherlands,Municipal waste generated,9479
2012,Netherlands,Municipal waste generated,9203
2013,Netherlands,Municipal waste generated,8840
2014,Netherlands,Municipal waste generated,8894
2015,Netherlands,Municipal waste generated,8866
2016,Netherlands,Municipal waste generated,8858
2017,Netherlands,Municipal waste generated,8787
2000,Netherlands,Waste from households,8361
2001,Netherlands,Waste from households,8373
2002,Netherlands,Waste from households,8460
2003,Netherlands,Waste from households,8343
2004,Netherlands,Waste from households,8577
2005,Netherlands,Waste from households,8612
2006,Netherlands,Waste from households,8637
2007,Netherlands,Waste from households,8771
2008,Netherlands,Waste from households,8722
2009,Netherlands,Waste from households,8569
2010,Netherlands,Waste from households,8373
2011,Netherlands,Waste from households,8325
2012,Netherlands,Waste from households,8132
2013,Netherlands,Waste from households,7786
2014,Netherlands,Waste from households,7851
2015,Netherlands,Waste from households,7826
2016,Netherlands,Waste from households,7846
2017,Netherlands,Waste from households,7836
2000,Netherlands,Other municipal waste,1168
2001,Netherlands,Other municipal waste,1177
2002,Netherlands,Other municipal waste,1224
2003,Netherlands,Other municipal waste,1161
2004,Netherlands,Other municipal waste,1169
2005,Netherlands,Other municipal waste,1157
2006,Netherlands,Other municipal waste,1124
2007,Netherlands,Other municipal waste,1150
2008,Netherlands,Other municipal waste,1147
2009,Netherlands,Other municipal waste,1169
2010,Netherlands,Other municipal waste,1111
2011,Netherlands,Other municipal waste,1154
2012,Netherlands,Other municipal waste,1071
2013,Netherlands,Other municipal waste,1054
2014,Netherlands,Other municipal waste,1043
2015,Netherlands,Other municipal waste,1040
2016,Netherlands,Other municipal waste,1010
2017,Netherlands,Other municipal waste,951
2000,Netherlands,Municipal waste treated,8121
2001,Netherlands,Municipal waste treated,8141
2002,Netherlands,Municipal waste treated,8313
2003,Netherlands,Municipal waste treated,7778
2004,Netherlands,Municipal waste treated,8009
2005,Netherlands,Municipal waste treated,8034
2006,Netherlands,Municipal waste treated,8049
2007,Netherlands,Municipal waste treated,8254
2008,Netherlands,Municipal waste treated,9868
2009,Netherlands,Municipal waste treated,9738
2010,Netherlands,Municipal waste treated,9484
2011,Netherlands,Municipal waste treated,9479
2012,Netherlands,Municipal waste treated,9203
2013,Netherlands,Municipal waste treated,8840
2014,Netherlands,Municipal waste treated,8894
2015,Netherlands,Municipal waste treated,8867
2016,Netherlands,Municipal waste treated,8859
2017,Netherlands,Municipal waste treated,8786
2000,Netherlands,Recycling,1899
2001,Netherlands,Recycling,1917
2002,Netherlands,Recycling,2022
2003,Netherlands,Recycling,2039
2004,Netherlands,Recycling,2183
2005,Netherlands,Recycling,2142
2006,Netherlands,Recycling,2247
2007,Netherlands,Recycling,2388
2008,Netherlands,Recycling,2450
2009,Netherlands,Recycling,2384
2010,Netherlands,Recycling,2354
2011,Netherlands,Recycling,2291
2012,Netherlands,Recycling,2196
2013,Netherlands,Recycling,2112
2014,Netherlands,Recycling,2112
2015,Netherlands,Recycling,2176
2016,Netherlands,Recycling,2242
2017,Netherlands,Recycling,2279
2000,Netherlands,Landfill,900
2001,Netherlands,Landfill,783
2002,Netherlands,Landfill,800
2003,Netherlands,Landfill,252
2004,Netherlands,Landfill,159
2005,Netherlands,Landfill,168
2006,Netherlands,Landfill,232
2007,Netherlands,Landfill,199
2008,Netherlands,Landfill,154
2009,Netherlands,Landfill,152
2010,Netherlands,Landfill,145
2011,Netherlands,Landfill,151
2012,Netherlands,Landfill,138
2013,Netherlands,Landfill,131
2014,Netherlands,Landfill,128
2015,Netherlands,Landfill,126
2016,Netherlands,Landfill,127
2017,Netherlands,Landfill,124
2002,New Zealand,Municipal waste generated,3022
2003,New Zealand,Municipal waste generated,3075
2004,New Zealand,Municipal waste generated,3186
2006,New Zealand,Municipal waste generated,3156
2010,New Zealand,Municipal waste generated,2532
2011,New Zealand,Municipal waste generated,2512
2012,New Zealand,Municipal waste generated,2514
2013,New Zealand,Municipal waste generated,2684
2014,New Zealand,Municipal waste generated,2931
2015,New Zealand,Municipal waste generated,3221
2016,New Zealand,Municipal waste generated,3405
2017,New Zealand,Municipal waste generated,3481
2002,New Zealand,Landfill,3022
2003,New Zealand,Landfill,3075
2004,New Zealand,Landfill,3186
2006,New Zealand,Landfill,3156
2010,New Zealand,Landfill,2532
2011,New Zealand,Landfill,2512
2012,New Zealand,Landfill,2514
2013,New Zealand,Landfill,2684
2014,New Zealand,Landfill,2931
2015,New Zealand,Landfill,3221
2016,New Zealand,Landfill,3405
2017,New Zealand,Landfill,3481
2000,Norway,Municipal waste generated,2755
2001,Norway,Municipal waste generated,1629
2002,Norway,Municipal waste generated,1780
2003,Norway,Municipal waste generated,1836
2004,Norway,Municipal waste generated,1903
2005,Norway,Municipal waste generated,1968
2006,Norway,Municipal waste generated,2140
2007,Norway,Municipal waste generated,2312
2008,Norway,Municipal waste generated,2324
2009,Norway,Municipal waste generated,2269
2010,Norway,Municipal waste generated,2295
2011,Norway,Municipal waste generated,2403
2012,Norway,Municipal waste generated,2392
2013,Norway,Municipal waste generated,2517.96
2014,Norway,Municipal waste generated,2175.44
2015,Norway,Municipal waste generated,2187.22
2016,Norway,Municipal waste generated,3946.17
2017,Norway,Municipal waste generated,3949.21
2000,Norway,Waste from households,1451.6
2001,Norway,Waste from households,1506.7
2002,Norway,Waste from households,1612.7
2003,Norway,Waste from households,1670.6
2004,Norway,Waste from households,1746.4
2005,Norway,Waste from households,1843.7
2006,Norway,Waste from households,1939.8
2007,Norway,Waste from households,2034
2008,Norway,Waste from households,2079
2009,Norway,Waste from households,2039
2010,Norway,Waste from households,2088
2011,Norway,Waste from households,2183
2012,Norway,Waste from households,2172
2013,Norway,Waste from households,2255
2014,Norway,Waste from households,1989.41
2015,Norway,Waste from households,2004.98
2016,Norway,Waste from households,1993.24
2017,Norway,Waste from households,1971.84
2000,Norway,Other municipal waste,1303.4
2001,Norway,Other municipal waste,122.3
2002,Norway,Other municipal waste,167.3
2003,Norway,Other municipal waste,165.4
2004,Norway,Other municipal waste,156.6
2005,Norway,Other municipal waste,124.3
2006,Norway,Other municipal waste,200.2
2007,Norway,Other municipal waste,278
2008,Norway,Other municipal waste,245
2009,Norway,Other municipal waste,230
2010,Norway,Other municipal waste,207
2011,Norway,Other municipal waste,220
2012,Norway,Other municipal waste,219
2013,Norway,Other municipal waste,262.96
2014,Norway,Other municipal waste,186.03
2015,Norway,Other municipal waste,182.23
2016,Norway,Other municipal waste,1952.93
2017,Norway,Other municipal waste,1977.38
2000,Norway,Municipal waste treated,2755
2001,Norway,Municipal waste treated,1628.97
2002,Norway,Municipal waste treated,1779.708
2003,Norway,Municipal waste treated,1836.213
2004,Norway,Municipal waste treated,1902.374
2005,Norway,Municipal waste treated,1968.372
2006,Norway,Municipal waste treated,2139.398
2007,Norway,Municipal waste treated,2311.488
2008,Norway,Municipal waste treated,2323.562
2009,Norway,Municipal waste treated,2268.802
2010,Norway,Municipal waste treated,2295.239
2011,Norway,Municipal waste treated,2403
2012,Norway,Municipal waste treated,2392
2013,Norway,Municipal waste treated,2517.96
2014,Norway,Municipal waste treated,2175.44
2015,Norway,Municipal waste treated,2187.22
2016,Norway,Municipal waste treated,3946.17
2017,Norway,Municipal waste treated,3949.21
2000,Norway,Recycling,606
2001,Norway,Recycling,496.34
2002,Norway,Recycling,559.69
2003,Norway,Recycling,575.89
2004,Norway,Recycling,475
2005,Norway,Recycling,519
2006,Norway,Recycling,574
2007,Norway,Recycling,642
2008,Norway,Recycling,669.51
2009,Norway,Recycling,619.82
2010,Norway,Recycling,608.76
2011,Norway,Recycling,598
2012,Norway,Recycling,620
2013,Norway,Recycling,589.68
2014,Norway,Recycling,566.97
2015,Norway,Recycling,571.5
2016,Norway,Recycling,1104.9
2017,Norway,Recycling,1137.61
2000,Norway,Landfill,1507
2001,Norway,Landfill,413.49
2002,Norway,Landfill,424.12
2003,Norway,Landfill,392.61
2004,Norway,Landfill,375.38
2005,Norway,Landfill,355.12
2006,Norway,Landfill,389.86
2007,Norway,Landfill,431.53
2008,Norway,Landfill,415.3
2009,Norway,Landfill,323.54
2010,Norway,Landfill,136.78
2011,Norway,Landfill,55.71
2012,Norway,Landfill,44
2013,Norway,Landfill,52.43
2014,Norway,Landfill,60.02
2015,Norway,Landfill,74.06
2016,Norway,Landfill,166.55
2017,Norway,Landfill,137.14
2000,Poland,Municipal waste generated,12226
2001,Poland,Municipal waste generated,11109
2002,Poland,Municipal waste generated,10509
2003,Poland,Municipal waste generated,9925
2004,Poland,Municipal waste generated,9759
2005,Poland,Municipal waste generated,12169
2006,Poland,Municipal waste generated,12235
2007,Poland,Municipal waste generated,12264
2008,Poland,Municipal waste generated,12194
2009,Poland,Municipal waste generated,12053
2010,Poland,Municipal waste generated,12032
2011,Poland,Municipal waste generated,12129
2012,Poland,Municipal waste generated,12084
2013,Poland,Municipal waste generated,11295
2014,Poland,Municipal waste generated,10330
2015,Poland,Municipal waste generated,10863
2016,Poland,Municipal waste generated,11654
2017,Poland,Municipal waste generated,11969
2000,Poland,Waste from households,8480
2001,Poland,Waste from households,8048
2002,Poland,Waste from households,7617
2003,Poland,Waste from households,6979
2004,Poland,Waste from households,6768
2005,Poland,Waste from households,8439
2006,Poland,Waste from households,8485
2007,Poland,Waste from households,9222
2008,Poland,Waste from households,9170
2009,Poland,Waste from households,9063
2014,Poland,Waste from households,8240
2015,Poland,Waste from households,8889
2016,Poland,Waste from households,9564
2017,Poland,Waste from households,9971
2000,Poland,Other municipal waste,3746
2001,Poland,Other municipal waste,3061
2002,Poland,Other municipal waste,2892
2003,Poland,Other municipal waste,2946
2004,Poland,Other municipal waste,2991
2005,Poland,Other municipal waste,2856
2006,Poland,Other municipal waste,2991
2014,Poland,Other municipal waste,2091
2015,Poland,Other municipal waste,1975
2016,Poland,Other municipal waste,2090
2017,Poland,Other municipal waste,1997
2000,Poland,Municipal waste treated,12226
2001,Poland,Municipal waste treated,11108
2002,Poland,Municipal waste treated,10509
2003,Poland,Municipal waste treated,9925
2004,Poland,Municipal waste treated,9715
2005,Poland,Municipal waste treated,9352
2006,Poland,Municipal waste treated,9877
2007,Poland,Municipal waste treated,10083
2008,Poland,Municipal waste treated,10036
2009,Poland,Municipal waste treated,10053
2010,Poland,Municipal waste treated,10040
2011,Poland,Municipal waste treated,9828
2012,Poland,Municipal waste treated,9581
2013,Poland,Municipal waste treated,9474
2014,Poland,Municipal waste treated,10330
2015,Poland,Municipal waste treated,10863
2016,Poland,Municipal waste treated,11654
2017,Poland,Municipal waste treated,11969
2000,Poland,Recycling,13
2001,Poland,Recycling,147
2002,Poland,Recycling,116
2003,Poland,Recycling,145
2004,Poland,Recycling,243
2005,Poland,Recycling,367
2006,Poland,Recycling,487
2007,Poland,Recycling,580
2008,Poland,Recycling,895
2009,Poland,Recycling,1421
2010,Poland,Recycling,1783
2011,Poland,Recycling,1173
2012,Poland,Recycling,1244
2013,Poland,Recycling,1499
2014,Poland,Recycling,2180
2015,Poland,Recycling,2867
2016,Poland,Recycling,3243
2017,Poland,Recycling,3199
2000,Poland,Landfill,11965
2001,Poland,Landfill,10638
2002,Poland,Landfill,10142
2003,Poland,Landfill,9609
2004,Poland,Landfill,9194
2005,Poland,Landfill,8623
2006,Poland,Landfill,8987
2007,Poland,Landfill,9098
2008,Poland,Landfill,8716
2009,Poland,Landfill,8423
2010,Poland,Landfill,8037
2011,Poland,Landfill,8400
2012,Poland,Landfill,8085
2013,Poland,Landfill,6997
2014,Poland,Landfill,6031
2015,Poland,Landfill,5897
2016,Poland,Landfill,5331
2017,Poland,Landfill,5000
2000,Portugal,Municipal waste generated,4531.2
2001,Portugal,Municipal waste generated,4500.7
2002,Portugal,Municipal waste generated,4595.15
2003,Portugal,Municipal waste generated,4692.78
2004,Portugal,Municipal waste generated,4665.19
2005,Portugal,Municipal waste generated,4745.18
2006,Portugal,Municipal waste generated,4898.08
2007,Portugal,Municipal waste generated,4967.27
2008,Portugal,Municipal waste generated,5471.84
2009,Portugal,Municipal waste generated,5496.27
2010,Portugal,Municipal waste generated,5457.14
2011,Portugal,Municipal waste generated,5177.78
2012,Portugal,Municipal waste generated,4765.92
2013,Portugal,Municipal waste generated,4597.94
2014,Portugal,Municipal waste generated,4710.46
2015,Portugal,Municipal waste generated,4768.81
2016,Portugal,Municipal waste generated,4897.26
2017,Portugal,Municipal waste generated,5012.38
2000,Portugal,Municipal waste treated,4704.56
2001,Portugal,Municipal waste treated,4709.17
2002,Portugal,Municipal waste treated,4595.15
2003,Portugal,Municipal waste treated,4692.78
2004,Portugal,Municipal waste treated,4665.19
2005,Portugal,Municipal waste treated,4745.18
2006,Portugal,Municipal waste treated,4898.08
2007,Portugal,Municipal waste treated,4967.27
2008,Portugal,Municipal waste treated,5471.84
2009,Portugal,Municipal waste treated,5496.27
2010,Portugal,Municipal waste treated,5457.14
2011,Portugal,Municipal waste treated,5177.78
2012,Portugal,Municipal waste treated,4765.92
2013,Portugal,Municipal waste treated,4597.94
2014,Portugal,Municipal waste treated,4710.46
2015,Portugal,Municipal waste treated,4585.77
2016,Portugal,Municipal waste treated,4648.31
2017,Portugal,Municipal waste treated,4777.98
2000,Portugal,Recycling,157.29
2001,Portugal,Recycling,189.56
2002,Portugal,Recycling,212.66
2003,Portugal,Recycling,226.94
2004,Portugal,Recycling,319.57
2005,Portugal,Recycling,405.78
2006,Portugal,Recycling,475.35
2007,Portugal,Recycling,527.9
2008,Portugal,Recycling,566.65
2009,Portugal,Recycling,648.21
2010,Portugal,Recycling,619.35
2011,Portugal,Recycling,594.79
2012,Portugal,Recycling,549.48
2013,Portugal,Recycling,594.12
2014,Portugal,Recycling,764.67
2015,Portugal,Recycling,677.77
2016,Portugal,Recycling,700.1
2017,Portugal,Recycling,575.51
2000,Portugal,Landfill,3223.51
2001,Portugal,Landfill,3176.38
2002,Portugal,Landfill,3290.13
2003,Portugal,Landfill,3177.61
2004,Portugal,Landfill,3044.04
2005,Portugal,Landfill,2969.27
2006,Portugal,Landfill,3142.77
2007,Portugal,Landfill,3170.43
2008,Portugal,Landfill,3530.22
2009,Portugal,Landfill,3341.71
2010,Portugal,Landfill,3380.82
2011,Portugal,Landfill,3048.13
2012,Portugal,Landfill,2592.8
2013,Portugal,Landfill,2320.19
2014,Portugal,Landfill,2307.17
2015,Portugal,Landfill,2221.19
2016,Portugal,Landfill,2184.91
2017,Portugal,Landfill,2368.81
2000,Slovak Republic,Municipal waste generated,1706.722
2002,Slovak Republic,Municipal waste generated,1449.114
2003,Slovak Republic,Municipal waste generated,1511.241
2004,Slovak Republic,Municipal waste generated,1400.032
2005,Slovak Republic,Municipal waste generated,1467.766
2006,Slovak Republic,Municipal waste generated,1523.988
2007,Slovak Republic,Municipal waste generated,1579.061
2008,Slovak Republic,Municipal waste generated,1685.533
2009,Slovak Republic,Municipal waste generated,1654.347
2010,Slovak Republic,Municipal waste generated,1719.01
2011,Slovak Republic,Municipal waste generated,1678.92
2012,Slovak Republic,Municipal waste generated,1656.57
2013,Slovak Republic,Municipal waste generated,1644.64
2014,Slovak Republic,Municipal waste generated,1732.99
2015,Slovak Republic,Municipal waste generated,1784.18
2016,Slovak Republic,Municipal waste generated,1889.53
2017,Slovak Republic,Municipal waste generated,2057.62
2000,Slovak Republic,Waste from households,953.11
2003,Slovak Republic,Waste from households,1261.36
2004,Slovak Republic,Waste from households,1219.071
2005,Slovak Republic,Waste from households,1248.383
2006,Slovak Republic,Waste from households,1294.178
2007,Slovak Republic,Waste from households,1328.483
2008,Slovak Republic,Waste from households,1427.531
2009,Slovak Republic,Waste from households,1400.747
2010,Slovak Republic,Waste from households,1418.88
2011,Slovak Republic,Waste from households,1394.44
2012,Slovak Republic,Waste from households,1349.79
2013,Slovak Republic,Waste from households,1336.03
2014,Slovak Republic,Waste from households,1358.24
2015,Slovak Republic,Waste from households,1386.67
2016,Slovak Republic,Waste from households,1378.72
2017,Slovak Republic,Waste from households,1374.52
2000,Slovak Republic,Other municipal waste,753.6
2003,Slovak Republic,Other municipal waste,249.881
2004,Slovak Republic,Other municipal waste,180.96
2005,Slovak Republic,Other municipal waste,219.382
2006,Slovak Republic,Other municipal waste,229.81
2007,Slovak Republic,Other municipal waste,250.578
2008,Slovak Republic,Other municipal waste,272.432
2009,Slovak Republic,Other municipal waste,253.6
2010,Slovak Republic,Other municipal waste,300.13
2011,Slovak Republic,Other municipal waste,284.48
2012,Slovak Republic,Other municipal waste,306.78
2013,Slovak Republic,Other municipal waste,308.61
2014,Slovak Republic,Other municipal waste,374.74
2015,Slovak Republic,Other municipal waste,397.51
2016,Slovak Republic,Other municipal waste,510.81
2017,Slovak Republic,Other municipal waste,683.1
2000,Slovak Republic,Municipal waste treated,1706.72
2002,Slovak Republic,Municipal waste treated,1449.11
2003,Slovak Republic,Municipal waste treated,1511.24
2004,Slovak Republic,Municipal waste treated,1400.03
2005,Slovak Republic,Municipal waste treated,1380.85
2006,Slovak Republic,Municipal waste treated,1440.76
2007,Slovak Republic,Municipal waste treated,1520.93
2008,Slovak Republic,Municipal waste treated,1593.79
2009,Slovak Republic,Municipal waste treated,1613.67
2010,Slovak Republic,Municipal waste treated,1709.64
2011,Slovak Republic,Municipal waste treated,1669.32
2012,Slovak Republic,Municipal waste treated,1655.25
2013,Slovak Republic,Municipal waste treated,1618.39
2014,Slovak Republic,Municipal waste treated,1702.43
2015,Slovak Republic,Municipal waste treated,1776.06
2016,Slovak Republic,Municipal waste treated,1874.81
2017,Slovak Republic,Municipal waste treated,2057.31
2000,Slovak Republic,Recycling,36.2
2002,Slovak Republic,Recycling,34.84
2003,Slovak Republic,Recycling,47.11
2004,Slovak Republic,Recycling,45.55
2005,Slovak Republic,Recycling,13.79
2006,Slovak Republic,Recycling,13.57
2007,Slovak Republic,Recycling,38.9
2008,Slovak Republic,Recycling,59.65
2009,Slovak Republic,Recycling,72.45
2010,Slovak Republic,Recycling,98.15
2011,Slovak Republic,Recycling,103.9
2012,Slovak Republic,Recycling,139.5
2013,Slovak Republic,Recycling,107.89
2014,Slovak Republic,Recycling,88.42
2015,Slovak Republic,Recycling,136.23
2016,Slovak Republic,Recycling,291.07
2017,Slovak Republic,Recycling,433.31
2000,Slovak Republic,Landfill,1055.93
2002,Slovak Republic,Landfill,1124.1
2003,Slovak Republic,Landfill,1172.54
2004,Slovak Republic,Landfill,1123.4
2005,Slovak Republic,Landfill,1143.81
2006,Slovak Republic,Landfill,1169.44
2007,Slovak Republic,Landfill,1209.83
2008,Slovak Republic,Landfill,1276.27
2009,Slovak Republic,Landfill,1264.01
2010,Slovak Republic,Landfill,1325.02
2011,Slovak Republic,Landfill,1240.13
2012,Slovak Republic,Landfill,1211.4
2013,Slovak Republic,Landfill,1151.89
2014,Slovak Republic,Landfill,1158.33
2015,Slovak Republic,Landfill,1226
2016,Slovak Republic,Landfill,1236.34
2017,Slovak Republic,Landfill,1246.13
2000,Spain,Municipal waste generated,26505
2001,Spain,Municipal waste generated,26616
2002,Spain,Municipal waste generated,26404
2003,Spain,Municipal waste generated,27270
2004,Spain,Municipal waste generated,25746
2005,Spain,Municipal waste generated,25683
2006,Spain,Municipal waste generated,26209.19
2007,Spain,Municipal waste generated,26153.99
2008,Spain,Municipal waste generated,25316.94
2009,Spain,Municipal waste generated,25107.98
2010,Spain,Municipal waste generated,23774.42
2011,Spain,Municipal waste generated,22672.41
2012,Spain,Municipal waste generated,21896.34
2013,Spain,Municipal waste generated,21184.2
2014,Spain,Municipal waste generated,20836.4
2015,Spain,Municipal waste generated,21157.8
2016,Spain,Municipal waste generated,21541.8
2017,Spain,Municipal waste generated,21529.5
2008,Spain,Municipal waste treated,25316.94
2009,Spain,Municipal waste treated,25107.98
2010,Spain,Municipal waste treated,23774.42
2011,Spain,Municipal waste treated,22672.41
2012,Spain,Municipal waste treated,21896.34
2013,Spain,Municipal waste treated,21184.2
2014,Spain,Municipal waste treated,20836.4
2015,Spain,Municipal waste treated,21157.8
2016,Spain,Municipal waste treated,21541.8
2017,Spain,Municipal waste treated,21529.5
2008,Spain,Recycling,3898.39
2009,Spain,Recycling,3810.97
2010,Spain,Recycling,4174.67
2011,Spain,Recycling,3782.46
2012,Spain,Recycling,4277.34
2013,Spain,Recycling,3284.3
2014,Spain,Recycling,3525.5
2015,Spain,Recycling,3892
2016,Spain,Recycling,3944.8
2017,Spain,Recycling,3899.9
2008,Spain,Landfill,13091.44
2009,Spain,Landfill,14539.91
2010,Spain,Landfill,14788.89
2011,Spain,Landfill,14276.2
2012,Spain,Landfill,13262.64
2013,Spain,Landfill,11800.9
2014,Spain,Landfill,12022.6
2015,Spain,Landfill,12128.6
2016,Spain,Landfill,11657.9
2017,Spain,Landfill,11537.2
2000,Sweden,Municipal waste generated,3793
2001,Sweden,Municipal waste generated,3907.2
2002,Sweden,Municipal waste generated,4149
2003,Sweden,Municipal waste generated,4155.6
2004,Sweden,Municipal waste generated,4134.45
2005,Sweden,Municipal waste generated,4305.75
2006,Sweden,Municipal waste generated,4446.68
2007,Sweden,Municipal waste generated,4442.47
2008,Sweden,Municipal waste generated,4454.59
2009,Sweden,Municipal waste generated,4365.72
2010,Sweden,Municipal waste generated,4115.09
2011,Sweden,Municipal waste generated,4246.24
2012,Sweden,Municipal waste generated,4285.09
2013,Sweden,Municipal waste generated,4326.07
2014,Sweden,Municipal waste generated,4246.28
2015,Sweden,Municipal waste generated,4376.53
2016,Sweden,Municipal waste generated,4392.51
2017,Sweden,Municipal waste generated,4551
2000,Sweden,Municipal waste treated,3773
2001,Sweden,Municipal waste treated,3907.2
2002,Sweden,Municipal waste treated,4149
2003,Sweden,Municipal waste treated,4159.55
2004,Sweden,Municipal waste treated,4142.59
2005,Sweden,Municipal waste treated,4320.84
2006,Sweden,Municipal waste treated,4461.4
2007,Sweden,Municipal waste treated,4459.97
2008,Sweden,Municipal waste treated,4476
2009,Sweden,Municipal waste treated,4390.48
2010,Sweden,Municipal waste treated,4140.44
2011,Sweden,Municipal waste treated,4278.55
2012,Sweden,Municipal waste treated,4324.14
2013,Sweden,Municipal waste treated,4371.75
2014,Sweden,Municipal waste treated,4295.49
2015,Sweden,Municipal waste treated,4420.87
2016,Sweden,Municipal waste treated,4440.28
2017,Sweden,Municipal waste treated,4550
2000,Sweden,Recycling,1091
2001,Sweden,Recycling,1135.2
2002,Sweden,Recycling,1294.82
2003,Sweden,Recycling,1313.76
2004,Sweden,Recycling,1384.76
2005,Sweden,Recycling,1474.28
2006,Sweden,Recycling,1657.52
2007,Sweden,Recycling,1591.18
2008,Sweden,Recycling,1520.47
2009,Sweden,Recycling,1604.4
2010,Sweden,Recycling,1414.41
2011,Sweden,Recycling,1408
2012,Sweden,Recycling,1405
2013,Sweden,Recycling,1445
2014,Sweden,Recycling,1420
2015,Sweden,Recycling,1418
2016,Sweden,Recycling,1435
2017,Sweden,Recycling,1426
2000,Sweden,Landfill,865
2001,Sweden,Landfill,880
2002,Sweden,Landfill,825
2003,Sweden,Landfill,575
2004,Sweden,Landfill,380
2005,Sweden,Landfill,210.11
2006,Sweden,Landfill,226
2007,Sweden,Landfill,186.49
2008,Sweden,Landfill,140.25
2009,Sweden,Landfill,58.4
2010,Sweden,Landfill,37.63
2011,Sweden,Landfill,32.75
2012,Sweden,Landfill,26.76
2013,Sweden,Landfill,28
2014,Sweden,Landfill,27.1
2015,Sweden,Landfill,34.8
2016,Sweden,Landfill,27.7
2017,Sweden,Landfill,20
2000,Switzerland,Municipal waste generated,4731
2001,Switzerland,Municipal waste generated,4794
2002,Switzerland,Municipal waste generated,4936
2003,Switzerland,Municipal waste generated,4916
2004,Switzerland,Municipal waste generated,4900
2005,Switzerland,Municipal waste generated,4940
2006,Switzerland,Municipal waste generated,5330
2007,Switzerland,Municipal waste generated,5465
2008,Switzerland,Municipal waste generated,5653
2009,Switzerland,Municipal waste generated,5461
2010,Switzerland,Municipal waste generated,5565
2011,Switzerland,Municipal waste generated,5478
2012,Switzerland,Municipal waste generated,5576
2013,Switzerland,Municipal waste generated,5708
2014,Switzerland,Municipal waste generated,6006
2015,Switzerland,Municipal waste generated,6030
2016,Switzerland,Municipal waste generated,6056
2017,Switzerland,Municipal waste generated,5992
2000,Switzerland,Waste from households,2791
2001,Switzerland,Waste from households,2828
2002,Switzerland,Waste from households,2912
2003,Switzerland,Waste from households,2900
2004,Switzerland,Waste from households,2891
2005,Switzerland,Waste from households,2915
2006,Switzerland,Waste from households,3145
2007,Switzerland,Waste from households,3224
2008,Switzerland,Waste from households,3335
2009,Switzerland,Waste from households,3222
2010,Switzerland,Waste from households,3283
2011,Switzerland,Waste from households,3232
2012,Switzerland,Waste from households,3178
2013,Switzerland,Waste from households,3196
2014,Switzerland,Waste from households,3363
2015,Switzerland,Waste from households,3376
2016,Switzerland,Waste from households,3391
2017,Switzerland,Waste from households,3356
2000,Switzerland,Other municipal waste,1940
2001,Switzerland,Other municipal waste,1966
2002,Switzerland,Other municipal waste,2024
2003,Switzerland,Other municipal waste,2016
2004,Switzerland,Other municipal waste,2009
2005,Switzerland,Other municipal waste,2025
2006,Switzerland,Other municipal waste,2185
2007,Switzerland,Other municipal waste,2241
2008,Switzerland,Other municipal waste,2318
2009,Switzerland,Other municipal waste,2239
2010,Switzerland,Other municipal waste,2282
2011,Switzerland,Other municipal waste,2246
